team,seed,conference,is_bye,off_epa,def_epa,net_epa,off_success,def_success,third_pct,third_attempts,rz_td_pct,rz_plays,explosive_pct,explosive_plays,to_per_game,total_turnovers
DEN,1,AFC,TRUE,0.02948300480025719,-0.03689001536290676,0.06637302016316395,46.241134751773046,42.18640504555011,38.55421686746988,249,13.306451612903224,248,4.166666666666666,58,0.8823529411764706,15
NE,2,AFC,FALSE,0.10212271034739219,-0.04504419864818549,0.1471669089955777,49.71910112359551,47.114682249817385,37.238493723849366,239,13.23529411764706,272,6.396588486140725,90,1,18
HOU,5,AFC,FALSE,-0.0033729857624391125,-0.10896090396406544,0.10558791820162633,44.56140350877193,41.54078549848943,34.67741935483871,248,10.330578512396695,242,3.9942938659058487,56,0.7647058823529411,13
BUF,6,AFC,FALSE,0.11954157833081681,0.02592844505604804,0.09361313327476878,49.24554183813443,48.369977255496586,41.05691056910569,246,16.095890410958905,292,5.563282336578582,80,1.0555555555555556,19
SEA,1,NFC,TRUE,0.046529685783880406,-0.12102971561369343,0.16755940139757383,49.962321024868125,42.51968503937008,36.771300448430495,223,12.355212355212355,259,5.73394495412844,75,1.5294117647058822,26
CHI,2,NFC,FALSE,0.057385273340207946,0.03223595427242085,0.0251493190677871,47.093403004572174,48.59943977591036,39.62962962962963,270,12.592592592592592,270,5.294506949040371,80,0.7222222222222222,13
LA,5,NFC,FALSE,0.1004067171847129,-0.04019649845588765,0.14060321564060055,53.58819584171697,45.52188552188552,34.95575221238938,226,16.560509554140125,314,5.850340136054422,86,0.9444444444444444,17
SF,6,NFC,FALSE,0.08724193191747863,0.024087476754370674,0.06315445516310796,50.90027700831025,49.860917941585534,47.05882352941176,238,15.463917525773196,291,4.154929577464789,59,1.3888888888888888,25
